Call_ID,Call_Transcript,Expected_Result
79,Immediate action required to avoid penalties. Confirm your personal information now.,Non-Vishing
80,You have won a lottery prize! Share your bank details to claim.,Non-Vishing
81,You have won a lottery prize! Share your bank details to claim.,Vishing
82,Your account has been flagged for suspicious activity. Please provide your details to reactivate.,Vishing
83,Your package has been shipped and will arrive soon.,Vishing
84,A family member is in urgent need of funds. Please transfer immediately to this account.,Vishing
85,Immediate action required to avoid penalties. Confirm your personal information now.,Vishing
86,Immediate action required to avoid penalties. Confirm your personal information now.,Non-Vishing
87,Immediate action required to avoid penalties. Confirm your personal information now.,Vishing
88,Your package has been shipped and will arrive soon.,Vishing
89,Your package has been shipped and will arrive soon.,Non-Vishing
90,You have won a lottery prize! Share your bank details to claim.,Vishing
91,This is a final notice from collections. Share your payment details to settle your account.,Vishing
92,Immediate action required to avoid penalties. Confirm your personal information now.,Vishing
93,Your account has been flagged for suspicious activity. Please provide your details to reactivate.,Vishing
94,Immediate action required to avoid penalties. Confirm your personal information now.,Non-Vishing
95,Your subscription has been renewed successfully. Thank you!,Non-Vishing
96,Your subscription has been renewed successfully. Thank you!,Non-Vishing
97,Your subscription has been renewed successfully. Thank you!,Vishing
98,Your subscription has been renewed successfully. Thank you!,Non-Vishing
99,Immediate action required to avoid penalties. Confirm your personal information now.,Vishing
100,Your subscription has been renewed successfully. Thank you!,Non-Vishing
